Original URL,Migrated URL,AOE Approval Date,Customer Approval Date,Notes
https://northera-stage.d.lundbeckus.com/,https://main--lundbeck-northera--aemdemos.aem.page/,,,
https://northera-stage.d.lundbeckus.com/patient-support,https://main--lundbeck-northera--aemdemos.aem.page/patient-support,,,
https://northera-stage.d.lundbeckus.com/symptomatic-neurogenic-orthostatic-hypotension,https://main--lundbeck-northera--aemdemos.aem.page/symptomatic-neurogenic-orthostatic-hypotension,,,
https://northera-stage.d.lundbeckus.com/symptomatic-neurogenic-orthostatic-hypotension-survey,https://main--lundbeck-northera--aemdemos.aem.page/symptomatic-neurogenic-orthostatic-hypotension-survey,,,(Merkle to finish https://github.com/aemdemos/lundbeck-northera/issues/60)
https://northera-stage.d.lundbeckus.com/symptomatic-neurogenic-orthostatic-hypotension-survey/results,,,,NOT PUBLISHED
https://northera-stage.d.lundbeckus.com/symptomatic-neurogenic-orthostatic-hypotension-survey/results/email,,,,NOT PUBLISHED
https://northera-stage.d.lundbeckus.com/symptomatic-neurogenic-orthostatic-hypotension-survey/results/thank-you,,,,NOT PUBLISHED
https://northera-stage.d.lundbeckus.com/about-northera/how-northera-works,https://main--lundbeck-northera--aemdemos.aem.page/about-northera/how-northera-works,,,
https://northera-stage.d.lundbeckus.com/about-northera,https://main--lundbeck-northera--aemdemos.aem.page/about-northera,,,
https://northera-stage.d.lundbeckus.com/for-healthcare-professionals,https://main--lundbeck-northera--aemdemos.aem.page/for-healthcare-professionals,,,
https://northera-stage.d.lundbeckus.com/find-a-neurogenic-orthostatic-hypotension-specialist,https://main--lundbeck-northera--aemdemos.aem.page/find-a-neurogenic-orthostatic-hypotension-specialist,,,(Merkle to finish via https://github.com/aemdemos/lundbeck-northera/issues/61)
https://northera-stage.d.lundbeckus.com/site-map,https://main--lundbeck-northera--aemdemos.aem.page/site-map,,,
https://northera-stage.d.lundbeckus.com/patient-support/your-northera-prescription,https://main--lundbeck-northera--aemdemos.aem.page/patient-support/your-northera-prescription,,,
https://northera-stage.d.lundbeckus.com/patient-support/paying-for-northera,https://main--lundbeck-northera--aemdemos.aem.page/patient-support/paying-for-northera,,,
https://northera-stage.d.lundbeckus.com/patient-support/coverage-for-northera,https://main--lundbeck-northera--aemdemos.aem.page/patient-support/coverage-for-northera,,,
https://northera-stage.d.lundbeckus.com/patient-support/receiving-your-prescription,https://main--lundbeck-northera--aemdemos.aem.page/patient-support/receiving-your-prescription,,,
https://northera-stage.d.lundbeckus.com/about-northera/real-experiences-with-northera,https://main--lundbeck-northera--aemdemos.aem.page/about-northera/real-experiences-with-northera,,,
https://northera-stage.d.lundbeckus.com/about-northera/taking-northera,https://main--lundbeck-northera--aemdemos.aem.page/about-northera/taking-northera,,,
https://northera-stage.d.lundbeckus.com/for-healthcare-professionals,https://main--lundbeck-northera--aemdemos.aem.page/for-healthcare-professionals,,,
https://northera-stage.d.lundbeckus.com/for-healthcare-professionals/about-northera,https://main--lundbeck-northera--aemdemos.aem.page/for-healthcare-professionals/about-northera,,,
https://northera-stage.d.lundbeckus.com/for-healthcare-professionals/prescribing-northera,https://main--lundbeck-northera--aemdemos.aem.page/for-healthcare-professionals/prescribing-northera,,,
https://northera-stage.d.lundbeckus.com/for-healthcare-professionals/additional-resources,https://main--lundbeck-northera--aemdemos.aem.page/for-healthcare-professionals/additional-resources,,,
https://northera-stage.d.lundbeckus.com/for-healthcare-professionals/treatment-form,https://main--lundbeck-northera--aemdemos.aem.page/for-healthcare-professionals/treatment-form,,,(Merkle to finish via https://github.com/aemdemos/lundbeck-northera/issues/57)
https://northera-stage.d.lundbeckus.com/patient-support/every-patient-story-matters,https://main--lundbeck-northera--aemdemos.aem.page/patient-support/every-patient-story-matters,,,
https://northera-stage.d.lundbeckus.com/patient-support/every-patient-story-matters/thank-you,https://main--lundbeck-northera--aemdemos.aem.page/patient-support/every-patient-story-matters/thank-you,,,
https://northera-stage.d.lundbeckus.com/patient-support/stay-informed,,,,NOT PUBLISHED
https://northera-stage.d.lundbeckus.com/patient-support/stay-informed/thank-you,,,,NOT PUBLISHED
https://northera-stage.d.lundbeckus.com/search,https://main--lundbeck-northera--aemdemos.aem.page/search,,,
https://northera-stage.d.lundbeckus.com/what-moves-you,https://main--lundbeck-northera--aemdemos.aem.page/what-moves-you,,,(Merkle to finish via https://github.com/aemdemos/lundbeck-northera/issues/37)
https://northera-stage.d.lundbeckus.com/what-moves-you/thank-you,https://main--lundbeck-northera--aemdemos.aem.page/what-moves-you/thank-you,,,
